dem_req_rate,req_rate_java-tomcat.herokuapp.com,con_rate_java-tomcat.herokuapp.com,min_rep_rate_java-tomcat.herokuapp.com,avg_rep_rate_java-tomcat.herokuapp.com,max_rep_rate_java-tomcat.herokuapp.com,stddev_rep_rate_java-tomcat.herokuapp.com,resp_time_java-tomcat.herokuapp.com,net_io_java-tomcat.herokuapp.com,errors_java-tomcat.herokuapp.com
5000,4140.1,165.7,0,4164.9,9276.2,3581.6,522.2,958.7,0.0833333333333333
7500,6611.9,264.5,0,6616.1,9138.1,2148.2,66.5,1531.2,0.0444444444444444
10000,8558.9,342.4,0,8570.4,10986,3122.8,46.7,1981.7,0.05
12500,,,,,,,,,101
15000,10828.6,433.5,26.0804651131756,7846.09059208961,17060.8260367295,5000.8,345.1,2386.8,0.155555555555556
17500,,,,,,,,,101
20000,,,,,,,,,101
22500,9856.0,411.1,0,5165.44018017376,11233.4230718804,7254.3,631.8,2111.7,7.38148148148148
25000,,,,,,,,,101
27500,,,,,,,,,101
30000,,,,,,,,,101
32500,,,,,,,,,101
35000,,,,,,,,,101
37500,,,,,,,,,101
40000,,,,,,,,,101
42500,,,,,,,,,101
45000,,,,,,,,,101
47500,,,,,,,,,101
50000,,,,,,,,,101
52500,,,,,,,,,101
55000,,,,,,,,,101
57500,,,,,,,,,101
60000,,,,,,,,,101
