dem_req_rate,req_rate_c-c.herokuapp.com,con_rate_c-c.herokuapp.com,min_rep_rate_c-c.herokuapp.com,avg_rep_rate_c-c.herokuapp.com,max_rep_rate_c-c.herokuapp.com,stddev_rep_rate_c-c.herokuapp.com,resp_time_c-c.herokuapp.com,net_io_c-c.herokuapp.com,errors_c-c.herokuapp.com
2000,1274.6,51.0,0,1275.9,2664,879.6,111.2,243.1,0.0416666666666667
3000,1663.4,66.5,0,1666.3,3324.2,1297.1,133.8,318.1,0.0277777777777778
4000,2208.4,88.3,0,2221.99629833333,4771.76254833333,1673.6,163.2,422.3,0
5000,2626.5,105.1,0,2630.6,7357.7,2168.8,162.9,496.9,0.0833333333333333
6000,3405.9,136.3,0,3425.83812038602,8319.62117817753,2468.0,218.3,649.7,0.111111111111111
7000,3631.7,145.5,0,3644.21738126256,9650.48676267781,2928.5,273.5,680.9,0.476190476190476
8000,4386.5,176.0,0,4227.73886271379,10348.1400232441,3172.3,288.7,926.3,0.729166666666667
9000,4410.6,187.7,0,4133.23991697991,9803.74875568882,3561.1,296.9,983.1,12.1851851851852
10000,5282.7,216.6,0,3908.7991166229,8505.26892395766,4141.0,325.8,1883.1,5.11666666666667
11000,4944.7,232.5,0,3859.96201206517,8369.44822490337,3716.7,378.1,1576.9,29.1893939393939
12000,5063.8,254.4,0,4522.87691973908,9233.16938162884,3700.7,331.6,1220.9,38.2152777777778
13000,5983.8,271.4,0,4616.0579344348,9787.10377042485,4565.2,303.6,1967.3,22.9038461538462
14000,5495.9,286.8,0,4124.96769685227,9566.56774767335,4383.7,325.2,1810.8,42.2619047619048
15000,5549.5,276.7,0,4121.4638155575,9141.96372811459,4785.0,304.4,1874.6,36.3722222222222
16000,5983.3,353.2,0,5066.10788956767,9457.95212352758,3893.2,326.6,1570.7,55.421875
17000,5845.7,344.1,0,3584.14513291751,6914.25302150294,4222.6,366.5,2409.7,54.5245098039216
18000,6278.2,385.3,0,5072.76482523505,17280.5929846292,4787.9,441.8,1344.5,59.412037037037
19000,6734.8,403.0,0,4588.51785637623,8401.35081664316,4750.7,313.2,2456.2,57.0657894736842
20000,6150.4,397.2,0,4505.25290248721,9072.48138412499,4660.7,312.9,2024.6,63.55
21000,6285.1,435.8,0,4888.47970789014,9160.50261484507,4033.6,356.9,1852.8,67.5595238095238
22000,6170.8,439.9,0,3950.6379639545,7555.74706395308,4102.3,396.1,2361.9,69.0795454545455
23000,7326.3,479.4,0,5117.24860853983,15331.3368917621,5818.1,412.4,1571.8,64.3659420289855
24000,6813.5,508.3,0,4706.68212957558,8810.81447469026,4746.5,299.3,2339.3,73.4375
