dem_req_rate,req_rate_scala-finagle.herokuapp.com,con_rate_scala-finagle.herokuapp.com,min_rep_rate_scala-finagle.herokuapp.com,avg_rep_rate_scala-finagle.herokuapp.com,max_rep_rate_scala-finagle.herokuapp.com,stddev_rep_rate_scala-finagle.herokuapp.com,resp_time_scala-finagle.herokuapp.com,net_io_scala-finagle.herokuapp.com,errors_scala-finagle.herokuapp.com
2000,1981.6,79.3,0,1991,4058.5,1014.1,101.6,323.9,0
3000,2964.1,118.6,1707.5,2989.7,3384.3,225.4,10.3,486.3,0
4000,3620.0,144.8,0,3636.1,5580.6,1150.2,14.8,593.0,0
5000,3653.2,146.2,0,3657.33170266539,7197.87197300595,1964.0,162.9,595.0,0.05
6000,4048.1,162.9,0,3720.36108635238,8450.72276877827,2121.7,447.1,891.6,1.125
7000,4700.0,190.5,0,3826.48303332464,7554.87405818526,2512.9,444.4,1357.2,2.55952380952381
8000,4822.8,198.4,0,3229.01015320897,7232.9720872681,3155.5,427.0,1870.5,5.875
9000,6674.8,270.3,0,5830.68407158702,10743.2026518578,3503.2,322.0,1691.6,2.52777777777778
10000,7262.4,290.8,0,7256.56456519781,11294.2210409361,3077.1,168.2,1203.4,0.183333333333333
11000,5612.2,238.4,0,3734.34058778246,7337.92676719649,3989.6,359.3,2175.7,11.5606060606061
12000,6207.0,300.9,0,4204.56978606332,7215.22491684803,3614.1,408.5,2305.8,33.2708333333333
13000,5752.1,311.8,0,4231.69687931274,7675.11874445027,3695.7,373.7,1849.8,47.525641025641
14000,6234.3,347.2,0,4722.03054481942,8141.36530635219,3782.9,373.8,1923.1,50.5892857142857
15000,5962.4,339.6,100.43857331572,3255.71635402906,6361.8908322325,3906.3,453.4,2681.5,52.3111111111111
16000,6797.4,402.4,0,3528.86409353929,5868.78979006265,3875.9,428.8,3153.1,55.6614583333333
17000,7389.1,411.8,0,5216.57418419307,8619.75745101786,4519.9,338.4,2512.4,50.1862745098039
18000,6613.4,407.6,1.0885445686579,3497.43927186941,6248.62681469539,4684.1,387.9,3009.6,60.4027777777778
19000,7244.4,504.0,59.2618061229394,5267.61479758415,7989.55513881546,3158.7,381.1,2266.0,68.5526315789474
20000,5989.8,432.7,0,3960.65267320197,7520.4830366635,3895.5,403.6,2131.3,71.3458333333333
21000,7548.1,551.3,0,4183.67456728768,6557.63981748966,3837.7,393.9,3202.8,72.3611111111111
22000,7027.2,503.8,0,4046.57143408857,6925.1969361483,3814.1,381.2,2904.3,70.8901515151515
23000,8175.1,554.4,0,3497.06351351351,5662.48783783784,4499.6,351.4,4218.7,68.0724637681159
24000,7704.7,643.3,0,3877.32951086484,5782.8365987899,3571.3,391.8,3460.5,79.8125
