dem_req_rate,req_rate_js-node.herokuapp.com,con_rate_js-node.herokuapp.com,min_rep_rate_js-node.herokuapp.com,avg_rep_rate_js-node.herokuapp.com,max_rep_rate_js-node.herokuapp.com,stddev_rep_rate_js-node.herokuapp.com,resp_time_js-node.herokuapp.com,net_io_js-node.herokuapp.com,errors_js-node.herokuapp.com
3500,3450.6,138.0,1404,3482.2,4986.4,713.0,17.6,741.3,0
5250,5157.6,206.3,3052.4,5163.3,7140.5,745.0,28.7,1108.1,0.0158730158730159
7000,6883.4,275.3,3480.2,6885.3,8878.3,1063.3,23.8,1478.9,0.0119047619047619
8750,7968.8,318.8,0,8040,10018.3,2223.3,78.2,1712.0,0.019047619047619
10500,8343.4,333.8,0,8398.8,11157.5,2849.1,143.8,1792.5,0.0158730158730159
12250,7681.0,342.9,0,7592.28805993942,10519.7977044476,2728.8,420.7,1689.1,21.0816326530612
14000,,,,,,,,,101
15750,11356.5,486.8,847.639052835625,7758.28986303059,14257.4255846715,4582.6,355.5,2357.6,15.4126984126984
17500,,,,,,,,,101
19250,,,,,,,,,101
21000,7432.7,446.0,0,5656.74208813683,16247.7045316729,5252.2,556.9,1713.5,57.8293650793651
22750,6425.4,428.8,0,5302.94377662164,8601.85210844679,3495.2,835.4,1878.2,61.4578754578755
24500,,,,,,,,,101
26250,12757.1,741.6,7.96799498679831,6194.96670232969,10343.4036922689,5654.7,404.1,2767.0,58.4793650793651
28000,,,,,,,,,101
29750,8213.2,876.4,0,5896.86307076401,7546.28840402253,2733.7,321.4,2629.1,88.4565826330532
31500,7780.7,758.5,0,6070.51020817271,8193.90292395037,3143.5,578.7,2277.5,82.2645502645503
33250,7018.2,743.7,0,5380.00856393102,8101.66687887492,3380.7,602.0,2047.3,85.0200501253133
35000,,,,,,,,,101
36750,,,,,,,,,101
38500,,,,,,,,,101
40250,,,,,,,,,101
42000,,,,,,,,,101
