dem_req_rate,req_rate_python-bottle.herokuapp.com,con_rate_python-bottle.herokuapp.com,min_rep_rate_python-bottle.herokuapp.com,avg_rep_rate_python-bottle.herokuapp.com,max_rep_rate_python-bottle.herokuapp.com,stddev_rep_rate_python-bottle.herokuapp.com,resp_time_python-bottle.herokuapp.com,net_io_python-bottle.herokuapp.com,errors_python-bottle.herokuapp.com
3500,,,,,,,,,101
5250,,,,,,,,,101
7000,,,,,,,,,101
8750,,,,,,,,,101
10500,,,,,,,,,101
12250,,,,,,,,,101
14000,,,,,,,,,101
15750,,,,,,,,,101
17500,,,,,,,,,101
19250,,,,,,,,,101
21000,,,,,,,,,101
22750,,,,,,,,,101
24500,,,,,,,,,101
26250,,,,,,,,,101
28000,,,,,,,,,101
29750,,,,,,,,,101
31500,,,,,,,,,101
33250,,,,,,,,,101
35000,,,,,,,,,101
36750,,,,,,,,,101
38500,,,,,,,,,101
40250,,,,,,,,,101
42000,,,,,,,,,101
